date,player_name,team,position,real_score,total_value,is_highest_value,is_most_popular,is_most_drafted_3x,ops_at_slate,iso_at_slate,era_at_slate,whip_at_slate,k9_at_slate,x_woba,x_ba,x_slg,avg_ev,hard_hit_pct,barrel_pct,max_ev,x_era,x_woba_against,fb_velo,whiff_pct,chase_pct,fb_ivb,fb_extension,ops_vs_lhp_at_slate,ops_vs_rhp_at_slate,batting_order_at_slate
2026-03-25,Aaron Judge,NYY,OF,-0.7,-1.4,0,1,0,0.000,0.000,,,,,,,,,,,,,,,,,,1.052,1.039,2
2026-03-25,Anthony Volpe,NYY,SS,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,
2026-03-25,Austin Wells,NYY,C,1.2,2.4,1,1,0,1.417,0.000,,,,,,,,,,,,,,,,,,0.435,0.764,9
2026-03-25,Ben Rice,NYY,1B,0.2,0.4,1,1,0,0.650,0.000,,,,,,,,,,,,,,,,,,1.324,1.173,4
2026-03-25,Camilo Doval,NYY,P,1.1,2.2,1,0,0,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
2026-03-25,Carlos Rodon,NYY,P,,,0,1,0,,,3.09,1.05,9.35,,,,,,,,,,,,,,,,,
2026-03-25,Cody Bellinger,NYY,OF,0.2,0.4,1,1,0,0.400,0.000,,,,,,,,,,,,,,,,,,1.013,0.885,3
2026-03-25,Giancarlo Stanton,NYY,DH,1.7,3.4,1,0,0,1.000,0.000,,,,,,,,,,,,,,,,,,0.652,0.756,5
2026-03-25,Heliot Ramos,SF,OF,0.1,0.2,0,1,0,0.500,0.000,,,,,,,,,,,,,,,,,,0.943,0.585,6
2026-03-25,JT Brubaker,SF,P,1.8,3.6,1,0,0,,,0.00,1.00,9.00,,,,,,,,,,,,,,,,,
2026-03-25,Jake Bird,NYY,P,0.8,1.6,1,0,0,,,0.00,0.00,13.50,,,,,,,,,,,,,,,,,
2026-03-25,Jazz Chisholm Jr.,NYY,3B,0.9,1.8,1,1,0,0.833,0.000,,,,,,,,,,,,,,,,,,0.483,0.690,6
2026-03-25,Jose Caballero,NYY,SS,1.0,2.0,1,0,0,0.500,0.000,,,,,,,,,,,,,,,,,,0.762,0.675,7
