date,player_name,team_actual,position,real_score,card_boost,game_result,ab,r,h,hr,rbi,bb,so,ip,er,k_pitching,decision,notes,ops_at_slate,iso_at_slate
2026-03-25,Austin Wells,NYY,C,1.2,,SF 0 NYY 7,3.0,1.0,2.0,0.0,0.0,1.0,0.0,,,,,2-for-3 | vs SF (away),1.417,0.000
2026-03-25,Ben Rice,NYY,1B,0.2,,SF 0 NYY 7,4.0,1.0,1.0,0.0,0.0,1.0,2.0,,,,,Minimal contribution | vs SF (away),0.650,0.000
2026-03-25,Camilo Doval,NYY,P,1.1,,SF 0 NYY 7,,,,,,,,1.0,0.0,0.0,ND,1 IP scoreless in 9th | vs SF (away),,
2026-03-25,Cody Bellinger,NYY,OF,0.2,,SF 0 NYY 7,5.0,1.0,1.0,0.0,0.0,0.0,2.0,,,,,Bad day at plate | vs SF (away),0.400,0.000
2026-03-25,Giancarlo Stanton,NYY,DH,1.7,,SF 0 NYY 7,4.0,1.0,2.0,0.0,1.0,0.0,1.0,,,,,First Yankee hit of season | vs SF (away),1.000,0.000
2026-03-25,JT Brubaker,SF,P,1.8,,SF 0 NYY 7,,,,,,,,2.0,0.0,2.0,ND,~1 IP relief scoreless | vs NYY (home),,
2026-03-25,Jake Bird,NYY,P,0.8,,SF 0 NYY 7,,,,,,,,0.2,0.0,1.0,ND,0.2 IP scoreless relief | vs SF (away),,
2026-03-25,Jazz Chisholm Jr.,NYY,3B,0.9,,SF 0 NYY 7,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,HBP single SB scored on error | vs SF (away),0.833,0.000
2026-03-25,Jose Caballero,NYY,SS,1.0,,SF 0 NYY 7,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,RBI double; first ABS challenge | vs SF (away),0.500,0.000
2026-03-25,Logan Webb,SF,P,0.3,,SF 0 NYY 7,,,,,,,,5.0,6.0,7.0,L,5 IP 9H 6ER 7R - got shelled | vs NYY (home),,
2026-03-25,Luis Arraez,SF,DH,0.3,,SF 0 NYY 7,3.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,Bad day at plate | vs NYY (home),0.833,0.000
2026-03-25,Max Fried,NYY,P,6.0,,SF 0 NYY 7,,,,,,,,6.1,0.0,4.0,W,6.1 IP 2H 0ER 1BB 4K - dominant opening day | vs SF (away),,
2026-03-25,Ryan McMahon,NYY,3B,2.2,,SF 0 NYY 7,3.0,1.0,1.0,0.0,2.0,1.0,2.0,,,,,2-RBI single to center | vs SF (away),0.833,0.000
2026-03-25,Trent Grisham,NYY,OF,2.0,,SF 0 NYY 7,5.0,0.0,1.0,0.0,2.0,0.0,1.0,,,,,2-run triple 105.7mph EV | vs SF (away),0.800,0.400
2026-03-26,Alec Burleson,STL,OF,5.0,,STL 9 TB 7,4.0,2.0,3.0,1.0,2.0,1.0,0.0,,,,,432ft go-ahead 2-run HR in 8-run 6th | vs TB (home),2.300,0.750
2026-03-26,Andrew Abbott,CIN,P,4.6,,CIN 0 BOS 3,,,,,,,,6.0,0.0,4.0,ND,6 IP 7H 0ER 1BB 4K - no run support | vs BOS (home),,
2026-03-26,Andy Pages,LAD,OF,5.3,,LAD 8 AZ 2,4.0,1.0,2.0,1.0,3.0,0.0,1.0,,,,,Go-ahead 3-run HR 400ft + diving catch | vs AZ (home),1.750,0.750
2026-03-26,Brandon Lowe,PIT,2B,5.1,,NYM 11 PIT 7,4.0,2.0,2.0,2.0,3.0,0.0,0.0,,,,,2 HR off Peralta in Pirates debut | vs NYM (away),2.500,1.500
2026-03-26,Chase DeLauter,CLE,OF,5.3,,SEA 4 CLE 6,5.0,3.0,3.0,2.0,2.0,0.0,1.0,,,,,2 HR in MLB debut (422ft/111.1mph) - historic | vs SEA (away),2.400,1.200
2026-03-26,Cristopher Sánchez,PHI,P,6.8,,PHI 5 TEX 3,,,,,,,,6.0,0.0,10.0,W,vs TEX (home),,
2026-03-26,Dominic Canzone,SEA,OF,4.3,,SEA 4 CLE 6,4.0,2.0,2.0,2.0,2.0,0.0,0.0,,,,,2 solo HR (418ft + 444ft/109.3mph) | vs CLE (home),2.500,1.500
2026-03-26,Garrett Crochet,BOS,P,5.8,,CIN 0 BOS 3,,,,,,,,6.0,0.0,8.0,W,6 IP 3H 0ER 2BB 8K | vs CIN (away),,
2026-03-26,Jacob Misiorowski,MIL,P,4.2,,MIL 14 CWS 2,,,,,,,,5.0,1.0,11.0,W,5 IP 2H 1ER 3BB 11K franchise record - 101.1mph | vs CWS (home),,
2026-03-26,Joe Ryan,MIN,P,5.6,,BAL 2 MIN 1,,,,,,,,5.1,0.0,7.0,ND,5.1 IP 1H 0ER 2BB 7K - dominant but lost | vs BAL (away),,
